"diff_eyes", "eyes_cosine", "mean_left_vel_x", ""mean_left_vel_y", ""mean_right_vel_x", ""mean_right_vel_y", "button1", "button2", "button3", "button4"
0.500172840748, 0.170912414789, -0.000149680519826, -2.62041576207e-05, 4.96595057484e-05, 8.18979970063e-05, 0, 0, 0, 0
0.5057868433, 0.0877813398838, 0.0536198876798, 0.0185587611049, -0.125098749995, 0.0344036668539, 0, 0, 0, 0
0.498483009338, 0.260224074125, 0.110498599708, -0.088477268815, -0.0631639286876, -0.0263693071902, 0, 0, 0, 0
0.459960317612, 0.213581323624, 0.169432222843, 0.0666709914804, -0.161961972713, -0.676239311695, 0, 0, 0, 0
0.541880502701, 0.148530393839, -0.020461468026, 0.0591364763677, 0.274449974298, -0.131361663342, 0, 0, 0, 0
0.459991950989, 0.999998927116, 0.401957988739, -1.33610963821, 0.533540427685, -1.76013171673, 0, 0, 0, 0
0.42998052597, 0.991612493992, 1.00473451614, 0.159079521894, 1.82185149193, -0.0481035858393, 0, 0, 0, 0
0.509850096703, 0.998169243336, -0.435140103102, -0.00283167953603, -0.458855956793, 0.0363690108061, 0, 0, 0, 0
0.579332809448, 0.739609777927, 0.0429733283818, 0.170526683331, 0.13131852448, 0.0339373275638, 0, 0, 0, 0
0.569689540863, 0.929378390312, -0.864575147629, 0.462829530239, -0.302566915751, 0.503237962723, 0, 0, 0, 0
0.554921159744, 0.759731739759, -0.296644061804, 0.588321387768, 0.27618521452, 0.442925304174, 0, 0, 0, 0
0.512694392204, 0.996433228254, -0.394845545292, 0.146472170949, -0.29356867075, 0.150878056884, 0, 0, 0, 0
0.572717466354, 0.997147887945, 0.599576830864, -0.397557199001, 0.269977033138, -0.223897382617, 0, 0, 0, 0
0.553830451965, 0.999010831118, -0.596462845802, 0.373037308455, -0.374508231878, 0.202647745609, 0, 0, 0, 0
0.504512767792, 0.98969835043, -0.935086131096, 0.404754430056, -0.800571322441, 0.561738610268, 0, 0, 0, 0
0.466421012878, 0.758649915457, -0.797593533993, 0.799283564091, -1.27004611492, -0.311672568321, 0, 0, 0, 0
0.622954540253, 0.117984086275, 0.379365295172, -0.545868456364, 0.0303837303072, 0.322586208582, 0, 0, 0, 0
0.501515731812, 0.886748105288, 0.146625995636, 0.245167076588, -0.0386978127062, 0.260521769524, 0, 0, 0, 0
0.174216537476, 0.784311562777, 0.824359059334, -0.00894209183753, 1.38125622272, 1.95256972313, 0, 0, 0, 0
0.337251586914, 0.939653813839, 1.91809523106, -0.364510864019, 2.83982133865, 0.905263483524, 0, 0, 0, 0
0.373794593811, 0.970215976238, -0.995241045952, 0.825193405151, -1.05741834641, 1.79795575142, 0, 0, 0, 0
0.41464466095, 0.326451420784, 0.218623876572, -0.113561525941, 0.135984510183, 1.08569121361, 0, 0, 0, 0
0.485962617397, 0.825157523155, -0.0378869250417, 0.0438859015703, 0.017583316192, 0.11584815383, 0, 0, 0, 0
